Date,tmp_air_max,tmp_air_min,sns_drt,rpr_hail,rpr_snow,rpr_frost,rpr_fog,rpr_thunder,rpr_lightening,rpr_sand_storm,rpr_gale,stations,Kinneret_Level,rain_mm,year,month,day,rain_day,rain_yesterday,rain_yesterday_mm,Change_from_last_day,KinneretInPrecent
1969-01-01,19.702941176470585,7.285294117647059,516.0,,,,1.0,,,,,34,-209.17,0.0,1969,1,1,0,0.0,0.0,,0.8675799086758026
1969-01-02,19.720588235294116,8.782352941176471,477.0,,,,,,,,,34,-209.21,0.0,1969,1,2,0,0.0,0.0,-0.040000000000020464,0.8614916286149167
1969-01-03,18.805882352941172,11.200000000000001,324.0,,,,,,,,,34,-209.22,3.4,1969,1,3,1,0.0,0.0,-0.009999999999990905,0.8599695585996974
1969-01-04,16.900000000000002,10.964705882352943,252.0,1.0,,,1.0,,1.0,,,34,-209.25,76.35627530364373,1969,1,4,1,1.0,3.4,-0.030000000000001137,0.8554033485540351
1969-01-05,14.355882352941176,8.308823529411764,312.0,1.0,,,1.0,1.0,1.0,,,34,-209.27,229.17142857142858,1969,1,5,1,1.0,76.35627530364373,-0.020000000000010232,0.8523592085235921
1969-01-06,11.200000000000001,6.917647058823529,165.0,1.0,1.0,,1.0,1.0,1.0,,,34,-209.28,399.65862068965515,1969,1,6,1,1.0,229.17142857142858,-0.009999999999990905,0.8508371385083728
1969-01-07,11.129411764705884,7.176470588235295,6.0,1.0,1.0,,1.0,1.0,1.0,,,34,-209.2,250.31034482758622,1969,1,7,1,1.0,399.65862068965515,0.0800000000000125,0.8630136986301403
1969-01-08,13.297058823529412,7.520588235294119,246.0,,,,1.0,1.0,1.0,,,34,-209.16,53.1505376344086,1969,1,8,1,1.0,250.31034482758622,0.03999999999999204,0.8691019786910219
1969-01-09,15.40882352941176,7.15,350.0,,,,,,1.0,,,34,-209.14,7.882978723404255,1969,1,9,1,1.0,53.1505376344086,0.020000000000010232,0.8721461187214649
1969-01-10,16.044117647058826,6.288235294117646,444.0,,,,,,1.0,,,34,-209.13,0.4,1969,1,10,1,1.0,7.882978723404255,0.009999999999990905,0.8736681887366842
1969-01-11,16.461764705882356,5.642424242424243,447.0,,,,1.0,,,,,34,-209.14,0.6666666666666666,1969,1,11,1,1.0,0.4,-0.009999999999990905,0.8721461187214649
1969-01-12,14.088235294117647,6.923529411764704,6.0,,,,1.0,,,,,34,-209.15,195.72822299651568,1969,1,12,1,1.0,0.6666666666666666,-0.010000000000019327,0.8706240487062412
1969-01-13,14.682352941176473,9.605882352941176,30.0,,,,1.0,,,,,34,-209.16,25.420454545454547,1969,1,13,1,1.0,195.72822299651568,-0.009999999999990905,0.8691019786910219
1969-01-14,15.373529411764707,9.803124999999998,80.0,,,,1.0,,,,,34,-209.14,55.308,1969,1,14,1,1.0,25.420454545454547,0.020000000000010232,0.8721461187214649
1969-01-15,16.76176470588236,8.005882352941176,478.0,,,,1.0,,,,,34,-209.14,3.0,1969,1,15,1,1.0,55.308,0.0,0.8721461187214649
1969-01-16,17.297058823529408,8.624242424242425,213.0,,,,,,,,,34,-209.15,0.0,1969,1,16,0,1.0,3.0,-0.010000000000019327,0.8706240487062412
1969-01-17,19.15294117647059,10.155882352941179,534.0,,,,,,,,,34,-209.16,0.0,1969,1,17,0,0.0,0.0,-0.009999999999990905,0.8691019786910219
1969-01-18,19.930303030303033,11.784848484848482,424.0,,,,1.0,1.0,1.0,,,33,-209.18,132.30103806228374,1969,1,18,1,0.0,0.0,-0.020000000000010232,0.866057838660579
1969-01-19,15.405882352941175,8.047058823529412,318.0,1.0,,,1.0,1.0,1.0,,,34,-209.19,157.7921146953405,1969,1,19,1,1.0,132.30103806228374,-0.009999999999990905,0.8645357686453596
1969-01-20,14.19705882352941,9.91764705882353,75.0,1.0,,,1.0,1.0,1.0,,,34,-209.21,179.3298969072165,1969,1,20,1,1.0,157.7921146953405,-0.020000000000010232,0.8614916286149167
1969-01-21,14.152941176470588,10.669696969696966,117.0,1.0,,,1.0,,1.0,,1.0,34,-209.15,302.8298611111111,1969,1,21,1,1.0,179.3298969072165,0.060000000000002274,0.8706240487062412
1969-01-22,12.891176470588235,8.858823529411765,48.0,1.0,,,1.0,1.0,1.0,1.0,1.0,34,-209.05,639.3413793103448,1969,1,22,1,1.0,302.8298611111111,0.09999999999999432,0.8858447488584473
1969-01-23,12.064705882352944,8.52941176470588,51.0,,,,1.0,,,,,34,-208.69,169.8591065292096,1969,1,23,1,1.0,639.3413793103448,0.36000000000001364,0.9406392694063948
1969-01-24,11.679411764705879,7.214705882352941,120.0,1.0,,,1.0,1.0,,,,34,-208.55,175.8303886925795,1969,1,24,1,1.0,169.8591065292096,0.13999999999998636,0.9619482496194824
1969-01-25,13.632352941176473,8.399999999999999,63.0,,,,1.0,,,,,34,-208.47,132.55555555555554,1969,1,25,1,1.0,175.8303886925795,0.0800000000000125,0.9741248097412499
1969-01-26,13.62941176470588,8.950000000000001,80.0,,,,1.0,,,,,34,-208.42,43.90459363957597,1969,1,26,1,1.0,132.55555555555554,0.05000000000001137,0.9817351598173553
1969-01-27,13.188235294117646,7.0058823529411764,93.0,,,,1.0,,1.0,,,34,-208.37,85.55633802816901,1969,1,27,1,1.0,43.90459363957597,0.04999999999998295,0.9893455098934562
1969-01-28,11.552941176470588,6.460606060606059,81.0,1.0,1.0,,1.0,1.0,1.0,,1.0,34,-208.36,181.7762237762238,1969,1,28,1,1.0,85.55633802816901,0.009999999999990905,0.9908675799086755
1969-01-29,8.576470588235296,3.6848484848484846,148.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,34,-208.32,77.70138888888889,1969,1,29,1,1.0,181.7762237762238,0.040000000000020464,0.9969558599695614
1969-01-30,12.720588235294118,2.797058823529412,446.0,,,1.0,1.0,1.0,,,,34,-208.3,15.485549132947977,1969,1,30,1,1.0,77.70138888888889,0.01999999999998181,1.0
1969-01-31,11.747058823529409,5.36764705882353,48.0,,,,1.0,,,,,34,-208.31,39.21632653061224,1969,1,31,1,1.0,15.485549132947977,-0.009999999999990905,0.9984779299847807
1969-02-01,14.070588235294117,8.347058823529412,219.0,,,,1.0,,,,,34,-208.33,63.90534979423868,1969,2,1,1,1.0,39.21632653061224,-0.020000000000010232,0.9954337899543377
1969-02-02,17.944117647058825,7.584848484848483,552.0,,,,1.0,,,,,34,-208.34,0.0,1969,2,2,0,1.0,63.90534979423868,-0.009999999999990905,0.9939117199391184
1969-02-03,18.04705882352941,6.881818181818181,572.0,,,,1.0,,,,,34,-208.35,2.0,1969,2,3,1,0.0,0.0,-0.009999999999990905,0.9923896499238991
1969-02-04,18.526470588235295,7.194117647058825,392.0,,,,1.0,,,,,34,-208.38,0.0,1969,2,4,0,1.0,2.0,-0.030000000000001137,0.9878234398782368
1969-02-05,18.650000000000002,8.320588235294117,326.0,,,,1.0,,,,,34,-208.42,0.0,1969,2,5,0,0.0,0.0,-0.03999999999999204,0.9817351598173553
