year,month,rain_mm,Kinneret_Level_end_of_month,tmp_air_max,tmp_air_min,rain_day,sns_drt,Date,Kinneret_Level_end_of_last_month,Change_from_last_month,tmp_air_max_binned,tmp_air_min_binned
1966,6,0.0,-210.52,31.86661736635421,18.375908681961313,0,736.2,1966-06-01,-210.52,0.0,31-34,16-19
1966,8,0.0,-210.52,32.71630161742117,21.048118977796396,0,680.7096774193549,1966-08-01,-210.52,0.0,31-34,19-23
1966,9,147.25156525717273,-210.13,30.858891899418218,19.55088181038182,12,578.4,1966-09-01,-210.52,0.3900000000000148,28-31,19-23
1966,10,641.8206265328103,-210.32,29.395909580077664,16.99567668752728,14,540.6774193548387,1966-10-01,-210.13,-0.18999999999999773,28-31,16-19
1966,11,496.3659862559866,-210.52,27.574700854700854,15.742388663967613,14,472.8666666666667,1966-11-01,-210.32,-0.20000000000001705,23-28,12-16
1966,12,2564.536260309105,-210.3,18.77674622840158,10.443458908823935,23,296.19354838709677,1966-12-01,-210.52,0.21999999999999886,17-23,8-12
1967,1,1809.2645813831875,-209.83,15.823206993071171,6.712091038406829,28,343.38709677419354,1967-01-01,-210.3,0.46999999999999886,11-17,3-8
1967,2,1033.5589225639612,-209.2,15.424034325679063,6.516058445663709,24,416.0357142857143,1967-02-01,-209.83,0.6300000000000239,11-17,3-8
1967,3,1430.7041920399647,-208.87,17.455710549258935,7.389524159133666,20,384.51612903225805,1967-03-01,-209.2,0.3299999999999841,11-17,3-8
1967,4,129.22681584366094,-208.97,23.087790817132927,10.985050708603342,20,549.0333333333333,1967-04-01,-208.87,-0.09999999999999432,17-23,8-12
1967,5,273.1687870150217,-208.87,26.76936987624962,14.797774428686429,15,596.8709677419355,1967-05-01,-208.97,0.09999999999999432,23-28,12-16
1967,7,0.0,-209.04,31.904366462127363,20.55409719312945,0,714.5806451612904,1967-07-01,-208.87,-0.1699999999999875,31-34,19-23
1967,8,0.0,-209.26,32.727863370282726,21.081267650755315,0,683.7096774193549,1967-08-01,-209.04,-0.21999999999999886,31-34,19-23
1967,9,20.308866488257898,-209.45,30.84838888888889,19.293037192654843,8,583.8333333333334,1967-09-01,-209.26,-0.18999999999999773,28-31,16-19
1967,10,340.3331023069884,-209.54,28.87695077566045,17.0810827417279,20,506.03225806451616,1967-10-01,-209.45,-0.09000000000000341,28-31,16-19
1967,11,1236.960117509003,-209.53,22.690714285714286,12.1374708994709,25,407.6333333333333,1967-11-01,-209.54,0.009999999999990905,17-23,8-12
1967,12,1196.5982012908319,-209.61,18.505350086929035,9.964431111926865,27,309.48387096774195,1967-12-01,-209.53,-0.0800000000000125,17-23,8-12
1968,1,1827.5831846921133,-209.17,15.224895033282133,7.052916779615072,25,332.64516129032256,1968-01-01,-209.61,0.44000000000002615,11-17,3-8
1968,2,505.5852693463732,-209.2,17.494604462474648,6.876685018835119,16,446.48275862068965,1968-02-01,-209.17,-0.030000000000001137,11-17,3-8
1968,3,416.50384863761093,-209.02,19.276541068040125,8.440157224179995,22,407.7096774193548,1968-03-01,-209.2,0.1799999999999784,17-23,3-8
1968,4,366.4164917718745,-208.87,25.726458704693997,12.285929971988795,8,524.8333333333334,1968-04-01,-209.02,0.15000000000000568,23-28,12-16
1968,5,272.31007167670464,-208.86,30.141507019229973,16.76686381297387,14,650.0,1968-05-01,-208.87,0.009999999999990905,28-31,16-19
1968,6,2.0,-209.02,31.728187675070032,19.301736694677867,2,722.3333333333334,1968-06-01,-208.86,-0.1599999999999966,31-34,16-19
1968,7,0.0,-209.12,33.4949465500655,21.091739920828804,0,717.483870967742,1968-07-01,-209.02,-0.09999999999999432,31-34,19-23
1968,8,16.57142857142857,-209.51,32.61656802809573,20.772356762211086,2,684.4516129032259,1968-08-01,-209.12,-0.38999999999998636,31-34,19-23
1968,9,75.04191796696041,-209.73,31.36083964646465,19.133659579667647,7,593.2666666666667,1968-09-01,-209.51,-0.21999999999999886,31-34,16-19
1968,10,403.7602317436748,-209.83,27.768511730205283,16.321017800271182,16,525.6774193548387,1968-10-01,-209.73,-0.10000000000002274,23-28,12-16
1968,11,1156.2873916852857,-209.76,23.753816980286746,13.270027187194529,21,430.9,1968-11-01,-209.83,0.0700000000000216,23-28,12-16
1968,12,3056.8740370139362,-209.07,18.10623778103617,10.414201670404232,25,311.19354838709677,1968-12-01,-209.76,0.6899999999999977,17-23,8-12
1969,1,3633.933290818822,-208.2,14.701641653728938,8.001397454142948,27,225.5483870967742,1969-01-01,-209.07,0.8700000000000045,11-17,3-8
1969,2,335.0453854808971,-208.81,18.46720460911638,8.283436783804431,15,424.32142857142856,1969-02-01,-208.2,-0.6100000000000136,17-23,3-8
1969,3,1076.6096077179338,-208.8,20.948450024437935,10.945517019834138,19,322.4516129032258,1969-03-01,-208.81,0.009999999999990905,17-23,8-12
